project,finding_id,forecaster_id,response
RPP,3,pv96u,0.7
RPP,3,vsbfd,0.45
RPP,3,hjnxe,0.77
RPP,3,bmfkj,0.76
RPP,3,6il19,0.7
RPP,3,kxzhv,0.51
RPP,3,z5oll,0.66
RPP,3,xpupr,0.8
RPP,3,37qus,0.8
RPP,3,lxg47,0.75
RPP,3,gaseo,0.73
RPP,3,5nbjz,0.3
RPP,3,2jerz,0.75
RPP,4,ttpqb,0.51
RPP,4,ae9m0,0.31
RPP,4,oay7y,0.91
RPP,4,yzxxj,0.75
RPP,4,d7rtl,0.05
RPP,4,nugpa,0.2
RPP,4,yu92f,0.75
RPP,4,wxm49,0.5
RPP,4,sxo86,0.52
RPP,4,pyn29,0.55
RPP,4,8c3m2,0.51
RPP,4,94ear,0.15
RPP,4,ycxp2,0.33
RPP,4,2kjhx,0.47
RPP,4,6j4s9,0.5
RPP,4,z7yin,0.83
RPP,4,r9cox,0.5
RPP,4,jot2g,0.7
RPP,4,w0ft5,0.8
RPP,4,2vvfk,0.66
RPP,4,s4enp,0.51
RPP,4,hkqex,0.5
RPP,4,0cdhl,0.61
RPP,4,tjfzu,0.5
RPP,4,jsjzs,0.7
RPP,4,6pwgu,0.75
RPP,4,015of,0.6
RPP,4,bf142,0.6
RPP,4,bu93w,0.4
RPP,4,stih2,0.52
RPP,4,sk26t,0.2
RPP,4,f8hf1,0.7
RPP,4,7nfb4,0.06
RPP,4,u6szv,0.6
RPP,4,pv96u,0.19
RPP,4,vsbfd,0.55
RPP,4,hjnxe,0.5
RPP,4,bmfkj,0.56
RPP,4,6il19,0.69
RPP,4,kxzhv,0.19
RPP,4,z5oll,0.49
RPP,4,xpupr,0.95
RPP,4,37qus,0.51
RPP,4,lxg47,0.7
RPP,4,gaseo,0.29
RPP,4,5nbjz,0.2
RPP,4,2jerz,0.8
RPP,5,ttpqb,0.81
RPP,5,ae9m0,0.2
RPP,5,oay7y,0.85
RPP,5,yzxxj,0.8
RPP,5,d7rtl,0.6
RPP,5,nugpa,0.3
RPP,5,yu92f,0.55
RPP,5,wxm49,0.55
RPP,5,sxo86,0.65
RPP,5,8c3m2,0.71
RPP,5,94ear,0.25
RPP,5,ycxp2,0.13
RPP,5,2kjhx,0.57
RPP,5,6j4s9,0.5
RPP,5,z7yin,0.81
RPP,5,r9cox,0.5
RPP,5,jot2g,0.6
RPP,5,w0ft5,0.83
RPP,5,2vvfk,0.7
RPP,5,s4enp,0.71
RPP,5,hkqex,0.5
RPP,5,0cdhl,0.5
RPP,5,tjfzu,0.5
RPP,5,jsjzs,0.8
RPP,5,6pwgu,0.51
RPP,5,015of,0.6
RPP,5,bf142,0.8
RPP,5,bu93w,0.7
RPP,5,stih2,0.29
RPP,5,sk26t,0.5
RPP,5,f8hf1,0.6
RPP,5,7nfb4,0.84
RPP,5,u6szv,0.71
RPP,5,pv96u,0.81
RPP,5,vsbfd,0.5
RPP,5,hjnxe,0.4
RPP,5,bmfkj,0.86
RPP,5,6il19,0.81
RPP,5,kxzhv,0.2
RPP,5,z5oll,0.63
RPP,5,xpupr,0.65
RPP,5,37qus,0.82
RPP,5,lxg47,0.6
RPP,5,gaseo,0.35
RPP,5,5nbjz,0.6
RPP,5,2jerz,0.81
RPP,6,ttpqb,0.2
RPP,6,ae9m0,0.19
RPP,6,oay7y,0.4
RPP,6,yzxxj,0.85
RPP,6,d7rtl,0.8
RPP,6,nugpa,0.1
RPP,6,yu92f,0.81
RPP,6,wxm49,0.65
RPP,6,sxo86,0.4
RPP,6,pyn29,0.75
RPP,6,8c3m2,0.7
RPP,6,94ear,0.1
RPP,6,ycxp2,0.35
RPP,6,2kjhx,0.44
RPP,6,6j4s9,0.24
RPP,6,z7yin,0.53
RPP,6,r9cox,0.7
RPP,6,jot2g,0.7
RPP,6,w0ft5,0.11
RPP,6,2vvfk,0.6
RPP,6,s4enp,0.91
RPP,6,hkqex,0.4
RPP,6,0cdhl,0.19
RPP,6,tjfzu,0.9
RPP,6,jsjzs,0.5
RPP,6,6pwgu,0.52
RPP,6,015of,0.55
RPP,6,bf142,0.43
RPP,6,bu93w,0.19
RPP,6,stih2,0.51
RPP,6,sk26t,0.6
RPP,6,f8hf1,0.7
RPP,6,7nfb4,0.91
RPP,6,u6szv,0.24
RPP,6,pv96u,0.78
RPP,6,vsbfd,0.1
RPP,6,hjnxe,0.15
RPP,6,bmfkj,0.65
RPP,6,6il19,0.73
RPP,6,kxzhv,0.2
RPP,6,z5oll,0.52
RPP,6,xpupr,0.85
RPP,6,37qus,0.78
RPP,6,lxg47,0.8
RPP,6,gaseo,0.65
RPP,6,5nbjz,0.25
RPP,6,2jerz,0.88
RPP,7,ttpqb,0.3
RPP,7,ae9m0,0.32
RPP,7,oay7y,0.5
RPP,7,yzxxj,0.1
RPP,7,d7rtl,0.05
RPP,7,nugpa,0.15
RPP,7,yu92f,0.51
RPP,7,wxm49,0.5
RPP,7,sxo86,0.19
RPP,7,pyn29,0.1
RPP,7,8c3m2,0.81
RPP,7,94ear,0.5
RPP,7,ycxp2,0.02
RPP,7,2kjhx,0.25
RPP,7,6j4s9,0.08
RPP,7,z7yin,0.31
RPP,7,r9cox,0.3
RPP,7,w0ft5,0
RPP,7,2vvfk,0.52
RPP,7,s4enp,0.7
RPP,7,hkqex,0.4
RPP,7,0cdhl,0.65
RPP,7,tjfzu,0.7
RPP,7,jsjzs,0.5
RPP,7,6pwgu,0.21
RPP,7,015of,0.6
RPP,7,bf142,0.33
RPP,7,bu93w,0.09
RPP,7,stih2,0.2
RPP,7,sk26t,0.4
RPP,7,f8hf1,0.19
RPP,7,7nfb4,0.59
RPP,7,u6szv,0.18
RPP,7,pv96u,0.09
RPP,7,vsbfd,0.45
RPP,7,hjnxe,0.09
RPP,7,bmfkj,0.77
RPP,7,6il19,0.92
RPP,7,kxzhv,0.19
RPP,7,z5oll,0.4
RPP,7,xpupr,0.6
RPP,7,37qus,0.3
RPP,7,lxg47,0.4
RPP,7,gaseo,0.7
RPP,7,5nbjz,0.2
RPP,7,2jerz,0.38
RPP,8,ttpqb,0.81
RPP,8,ae9m0,0.49
RPP,8,oay7y,0.81
RPP,8,yzxxj,0.9
RPP,8,d7rtl,0.8
RPP,8,nugpa,0.6
RPP,8,yu92f,0.81
RPP,8,wxm49,0.7
RPP,8,sxo86,0.68
RPP,8,pyn29,0.66
RPP,8,8c3m2,0.71
RPP,8,94ear,0.25
RPP,8,ycxp2,0.72
RPP,8,2kjhx,0.89
RPP,8,6j4s9,0.6
RPP,8,z7yin,0.71
RPP,8,r9cox,0.7
RPP,8,jot2g,0.75
RPP,8,w0ft5,0.69
RPP,8,2vvfk,0.75
RPP,8,s4enp,0.51
RPP,8,hkqex,0.8
RPP,8,0cdhl,0.69
RPP,8,tjfzu,0.8
RPP,8,jsjzs,0.85
RPP,8,6pwgu,0.76
RPP,8,015of,0.7
RPP,8,bf142,0.58
RPP,8,bu93w,0.82
RPP,8,stih2,0.92
RPP,8,f8hf1,0.9
RPP,8,7nfb4,0.63
RPP,8,u6szv,0.6
RPP,8,pv96u,0.9
RPP,8,vsbfd,0.7
RPP,8,hjnxe,0.71
RPP,8,bmfkj,0.91
RPP,8,6il19,0.88
RPP,8,kxzhv,0.5
RPP,8,z5oll,0.69
RPP,8,xpupr,0.85
RPP,8,37qus,1
RPP,8,lxg47,0.85
RPP,8,gaseo,0.89
RPP,8,5nbjz,0.7
RPP,8,2jerz,0.85
RPP,9,ttpqb,0.1
RPP,9,ae9m0,0.51
RPP,9,oay7y,0.89
RPP,9,yzxxj,0.75
RPP,9,d7rtl,0.8
RPP,9,nugpa,0.05
RPP,9,yu92f,0.5
RPP,9,wxm49,0.4
RPP,9,sxo86,0.42
RPP,9,pyn29,0.36
RPP,9,8c3m2,0.61
RPP,9,94ear,0.1
RPP,9,ycxp2,0
RPP,9,2kjhx,0.61
RPP,9,6j4s9,0.29
RPP,9,z7yin,0.82
RPP,9,r9cox,0.4
RPP,9,jot2g,0.5
RPP,9,w0ft5,0.29
RPP,9,2vvfk,0.6
RPP,9,s4enp,0.71
RPP,9,hkqex,0.9
RPP,9,0cdhl,0.65
RPP,9,tjfzu,0.75
RPP,9,jsjzs,0.7
RPP,9,6pwgu,0.36
RPP,9,015of,0.5
RPP,9,bf142,0.62
RPP,9,bu93w,0.7
RPP,9,stih2,0.92
RPP,9,sk26t,0.4
RPP,9,f8hf1,0.7
RPP,9,7nfb4,0.72
RPP,9,pv96u,0.8
RPP,9,vsbfd,0
RPP,9,hjnxe,0.81
RPP,9,bmfkj,0.84
RPP,9,6il19,1
RPP,9,kxzhv,0.19
RPP,9,z5oll,0.3
RPP,9,xpupr,0.9
RPP,9,37qus,0.87
RPP,9,lxg47,0.85
RPP,9,gaseo,0.39
RPP,9,5nbjz,0.2
RPP,9,2jerz,0.78
RPP,10,ttpqb,0.5
RPP,10,ae9m0,0.61
RPP,10,oay7y,0.81
RPP,10,yzxxj,0.3
RPP,10,d7rtl,0.5
RPP,10,nugpa,0.25
RPP,10,yu92f,0.5
RPP,10,wxm49,0.6
RPP,10,sxo86,0.28
RPP,10,pyn29,0.51
RPP,10,8c3m2,0.6
RPP,10,94ear,0.2
RPP,10,ycxp2,0.08
RPP,10,2kjhx,0.52
RPP,10,6j4s9,0.6
RPP,10,z7yin,0.81
RPP,10,r9cox,0.8
RPP,10,jot2g,0.5
RPP,10,w0ft5,0.51
RPP,10,2vvfk,0.79
RPP,10,s4enp,0.61
RPP,10,hkqex,0.5
RPP,10,0cdhl,0.81
RPP,10,tjfzu,0.65
RPP,10,jsjzs,0.6
RPP,10,6pwgu,0.35
RPP,10,015of,0.75
RPP,10,bf142,0.4
RPP,10,bu93w,0.4
RPP,10,stih2,0.91
RPP,10,sk26t,0.4
RPP,10,f8hf1,0.8
RPP,10,7nfb4,0.86
RPP,10,pv96u,0.3
RPP,10,vsbfd,0.6
RPP,10,hjnxe,0.92
RPP,10,bmfkj,0.86
RPP,10,6il19,0.95
RPP,10,kxzhv,0.2
RPP,10,z5oll,0.58
RPP,10,xpupr,0.6
RPP,10,37qus,0.91
RPP,10,lxg47,0.45
RPP,10,gaseo,0.34
RPP,10,5nbjz,0.2
RPP,10,2jerz,0.64
RPP,11,ttpqb,0.39
RPP,11,ae9m0,0.69
RPP,11,oay7y,0.81
RPP,11,yzxxj,0.85
RPP,11,d7rtl,0.8
RPP,11,nugpa,0.5
RPP,11,yu92f,0.8
RPP,11,wxm49,0.55
RPP,11,sxo86,0.58
RPP,11,pyn29,0.32
RPP,11,8c3m2,0.5
RPP,11,94ear,0.25
RPP,11,ycxp2,0.64
RPP,11,2kjhx,0.64
RPP,11,6j4s9,0.71
RPP,11,z7yin,0.24
RPP,11,r9cox,0.6
RPP,11,jot2g,0.6
RPP,11,w0ft5,0.33
RPP,11,2vvfk,0.8
RPP,11,s4enp,0.5
RPP,11,hkqex,0.7
RPP,11,0cdhl,0.66
RPP,11,tjfzu,0.4
RPP,11,jsjzs,0.75
RPP,11,6pwgu,0.74
RPP,11,015of,0.63
RPP,11,bf142,0.72
RPP,11,bu93w,0.7
RPP,11,stih2,0.51
RPP,11,sk26t,0.5
RPP,11,f8hf1,0.8
RPP,11,7nfb4,0.79
RPP,11,pv96u,0.52
RPP,11,vsbfd,0.61
RPP,11,hjnxe,0.81
RPP,11,bmfkj,0.81
RPP,11,6il19,0.91
RPP,11,kxzhv,0.5
RPP,11,z5oll,0.6
RPP,11,xpupr,0.85
RPP,11,37qus,0.5
RPP,11,lxg47,0.9
RPP,11,gaseo,0.59
RPP,11,5nbjz,0.6
RPP,11,2jerz,0.66
RPP,12,ttpqb,0.81
RPP,12,ae9m0,0.51
RPP,12,oay7y,0.81
RPP,12,yzxxj,0.9
RPP,12,d7rtl,0.4
RPP,12,nugpa,0.55
RPP,12,yu92f,0.8
RPP,12,wxm49,0.4
RPP,12,sxo86,0.71
RPP,12,pyn29,0.73
RPP,12,8c3m2,0.61
RPP,12,94ear,0.25
RPP,12,ycxp2,0.76
RPP,12,2kjhx,0.42
RPP,12,6j4s9,0.7
RPP,12,z7yin,0.31
RPP,12,r9cox,0.6
RPP,12,jot2g,0.6
RPP,12,w0ft5,0.54
RPP,12,2vvfk,0.7
RPP,12,s4enp,0.5
RPP,12,hkqex,0.5
RPP,12,0cdhl,0.65
RPP,12,tjfzu,0.71
RPP,12,jsjzs,0.75
RPP,12,6pwgu,0.35
RPP,12,015of,0.71
RPP,12,bf142,0.78
RPP,12,bu93w,0.81
RPP,12,stih2,0.91
RPP,12,sk26t,0.5
RPP,12,7nfb4,0.87
RPP,12,u6szv,0.7
RPP,12,pv96u,0.75
RPP,12,vsbfd,0.61
RPP,12,hjnxe,0.6
RPP,12,bmfkj,0.81
RPP,12,6il19,0.81
RPP,12,kxzhv,0.2
RPP,12,z5oll,0.71
RPP,12,xpupr,0.85
RPP,12,37qus,0.39
RPP,12,lxg47,0.88
RPP,12,gaseo,0.85
RPP,12,5nbjz,0.4
RPP,12,2jerz,0.66
RPP,13,ttpqb,0.4
RPP,13,ae9m0,0.51
RPP,13,oay7y,0.81
RPP,13,yzxxj,0.61
RPP,13,d7rtl,0.8
RPP,13,nugpa,0.4
RPP,13,yu92f,0.71
RPP,13,wxm49,0.55
RPP,13,sxo86,0.63
RPP,13,pyn29,0.4
RPP,13,8c3m2,0.4
RPP,13,94ear,0.25
RPP,13,ycxp2,0.72
RPP,13,2kjhx,0.56
RPP,13,6j4s9,0.7
RPP,13,z7yin,0.09
RPP,13,r9cox,0.4
RPP,13,jot2g,0.75
RPP,13,w0ft5,0.19
RPP,13,2vvfk,0.69
RPP,13,s4enp,0.2
RPP,13,hkqex,0.5
RPP,13,0cdhl,0.67
RPP,13,tjfzu,0.4
RPP,13,jsjzs,0.8
RPP,13,6pwgu,0.52
RPP,13,015of,0.65
RPP,13,bf142,0.52
RPP,13,bu93w,0.82
RPP,13,stih2,0.81
RPP,13,sk26t,0.6
RPP,13,f8hf1,0.7
RPP,13,7nfb4,0.9
RPP,13,u6szv,0.6
RPP,13,pv96u,0.53
RPP,13,vsbfd,0.6
RPP,13,hjnxe,0.71
RPP,13,bmfkj,0.8
RPP,13,6il19,0.81
RPP,13,kxzhv,0.19
RPP,13,z5oll,0.53
RPP,13,xpupr,0.8
RPP,13,37qus,0.71
RPP,13,lxg47,0.8
RPP,13,gaseo,0.5
RPP,13,5nbjz,0.2
RPP,13,2jerz,0.43
RPP,14,ttpqb,0.01
RPP,14,ae9m0,0.31
RPP,14,oay7y,0.6
RPP,14,yzxxj,0.13
RPP,14,d7rtl,0.05
RPP,14,nugpa,0.2
RPP,14,yu92f,0.5
RPP,14,wxm49,0.15
RPP,14,sxo86,0.1
RPP,14,pyn29,0.1
RPP,14,8c3m2,0.2
RPP,14,94ear,0.05
RPP,14,ycxp2,0
RPP,14,2kjhx,0.2
RPP,14,6j4s9,0.29
RPP,14,z7yin,0.1
RPP,14,r9cox,0.5
RPP,14,jot2g,0.4
RPP,14,w0ft5,0.43
RPP,14,2vvfk,0.73
RPP,14,s4enp,0.31
RPP,14,hkqex,0.9
RPP,14,0cdhl,0.18
RPP,14,tjfzu,0.8
RPP,14,jsjzs,0.2
RPP,14,6pwgu,0.82
RPP,14,015of,0.45
RPP,14,bf142,0.43
RPP,14,bu93w,0.2
RPP,14,stih2,0.52
RPP,14,sk26t,0.4
RPP,14,f8hf1,0.71
RPP,14,7nfb4,0.94
RPP,14,u6szv,0.5
RPP,14,pv96u,0.22
RPP,14,vsbfd,0
RPP,14,hjnxe,0.05
RPP,14,bmfkj,0.81
RPP,14,6il19,0.91
RPP,14,kxzhv,0.4
RPP,14,z5oll,0.42
RPP,14,xpupr,0.6
RPP,14,37qus,0.66
RPP,14,lxg47,0.4
RPP,14,gaseo,0.25
RPP,14,5nbjz,0.2
RPP,14,2jerz,0.3
RPP,15,ttpqb,0.71
RPP,15,ae9m0,0.71
RPP,15,oay7y,0.8
RPP,15,yzxxj,0.85
RPP,15,d7rtl,0.8
RPP,15,nugpa,0.6
RPP,15,yu92f,0.7
RPP,15,wxm49,0.55
RPP,15,sxo86,0.39
RPP,15,pyn29,0.19
RPP,15,8c3m2,0.41
RPP,15,ycxp2,0.81
RPP,15,2kjhx,0.72
RPP,15,6j4s9,0.4
RPP,15,z7yin,0.48
RPP,15,r9cox,0.4
RPP,15,jot2g,0.6
RPP,15,w0ft5,0.01
RPP,15,2vvfk,0.63
RPP,15,s4enp,0.91
RPP,15,hkqex,0.6
RPP,15,0cdhl,0.81
RPP,15,tjfzu,0.25
RPP,15,jsjzs,0.75
RPP,15,6pwgu,0.52
RPP,15,015of,0.75
RPP,15,bf142,0.76
RPP,15,bu93w,0.91
RPP,15,stih2,0.93
RPP,15,sk26t,0.7
RPP,15,f8hf1,0.8
RPP,15,7nfb4,0.93
RPP,15,u6szv,0.6
RPP,15,pv96u,0.87
RPP,15,vsbfd,0.61
RPP,15,hjnxe,0.81
RPP,15,bmfkj,0.76
RPP,15,6il19,0.96
RPP,15,kxzhv,0.5
RPP,15,z5oll,0.74
RPP,15,xpupr,0.8
RPP,15,37qus,0.96
RPP,15,lxg47,0.85
RPP,15,gaseo,0.88
RPP,15,5nbjz,0.2
RPP,15,2jerz,0.81
RPP,16,ttpqb,0.2
RPP,16,ae9m0,0.51
RPP,16,oay7y,0.7
RPP,16,yzxxj,0.58
RPP,16,d7rtl,0.05
RPP,16,nugpa,0.1
RPP,16,yu92f,0.65
RPP,16,wxm49,0.65
RPP,16,sxo86,0.2
RPP,16,pyn29,0.5
RPP,16,8c3m2,0.29
RPP,16,94ear,0.15
RPP,16,ycxp2,0.28
RPP,16,2kjhx,0.46
RPP,16,6j4s9,0.5
RPP,16,z7yin,0.41
RPP,16,r9cox,0.7
RPP,16,jot2g,0.2
RPP,16,w0ft5,0.2
RPP,16,2vvfk,0.69
RPP,16,s4enp,0.39
RPP,16,hkqex,0.29
RPP,16,0cdhl,0.68
RPP,16,tjfzu,0.57
RPP,16,jsjzs,0.5
RPP,16,6pwgu,0.9
RPP,16,015of,0.65
RPP,16,bf142,0.7
RPP,16,bu93w,0.29
RPP,16,stih2,0.53
RPP,16,sk26t,0.4
RPP,16,f8hf1,0.7
RPP,16,7nfb4,0.63
RPP,16,u6szv,0.49
RPP,16,pv96u,0.35
RPP,16,vsbfd,0.6
RPP,16,hjnxe,0.75
RPP,16,bmfkj,0.51
RPP,16,6il19,0.4
RPP,16,kxzhv,0.2
RPP,16,z5oll,0.51
RPP,16,xpupr,0.85
RPP,16,37qus,0.5
RPP,16,lxg47,0.8
RPP,16,gaseo,0.35
RPP,16,5nbjz,0.3
RPP,16,2jerz,0.43
RPP,17,ttpqb,0.81
RPP,17,ae9m0,0.68
RPP,17,oay7y,0.8
RPP,17,yzxxj,0.95
RPP,17,d7rtl,0.6
RPP,17,nugpa,0.5
RPP,17,yu92f,0.7
RPP,17,wxm49,0.65
RPP,17,sxo86,0.57
RPP,17,pyn29,0.72
RPP,17,8c3m2,0.81
RPP,17,94ear,0.25
RPP,17,ycxp2,0.82
RPP,17,2kjhx,0.67
RPP,17,6j4s9,0.61
RPP,17,z7yin,0.08
RPP,17,r9cox,0.7
RPP,17,jot2g,0.8
RPP,17,w0ft5,0.59
RPP,17,2vvfk,0.71
RPP,17,s4enp,0.5
RPP,17,hkqex,0.8
RPP,17,0cdhl,0.66
RPP,17,tjfzu,0.77
RPP,17,jsjzs,0.85
RPP,17,6pwgu,0.5
RPP,17,015of,0.75
RPP,17,bf142,0.63
RPP,17,bu93w,0.81
RPP,17,stih2,0.92
RPP,17,sk26t,0.6
RPP,17,f8hf1,0.81
RPP,17,7nfb4,0.58
RPP,17,u6szv,0.7
RPP,17,pv96u,0.74
RPP,17,vsbfd,0.6
RPP,17,hjnxe,0.5
RPP,17,bmfkj,0.61
RPP,17,6il19,0.77
RPP,17,kxzhv,0.51
RPP,17,z5oll,0.71
RPP,17,xpupr,0.85
RPP,17,37qus,0.91
RPP,17,lxg47,0.75
RPP,17,gaseo,0.92
RPP,17,5nbjz,0.26
RPP,17,2jerz,0.57
RPP,18,ttpqb,0.81
RPP,18,ae9m0,0.71
RPP,18,oay7y,0.76
RPP,18,yzxxj,0.8
RPP,18,d7rtl,0.05
RPP,18,nugpa,0.5
RPP,18,yu92f,0.55
RPP,18,wxm49,0.65
RPP,18,sxo86,0.71
RPP,18,pyn29,0.51
RPP,18,8c3m2,0.71
RPP,18,94ear,0.2
RPP,18,ycxp2,0.92
RPP,18,2kjhx,0.76
RPP,18,6j4s9,0.6
RPP,18,z7yin,0.8
RPP,18,r9cox,0.2
RPP,18,jot2g,0.5
RPP,18,w0ft5,0.82
RPP,18,2vvfk,0.78
RPP,18,s4enp,0.5
RPP,18,hkqex,0.8
RPP,18,0cdhl,0.64
RPP,18,tjfzu,0.75
RPP,18,jsjzs,0.8
RPP,18,6pwgu,0.52
RPP,18,015of,0.65
RPP,18,bf142,0.78
RPP,18,bu93w,0.62
RPP,18,stih2,0.74
RPP,18,sk26t,0.6
RPP,18,f8hf1,0.7
RPP,18,7nfb4,0.54
RPP,18,u6szv,0.7
RPP,18,pv96u,0.64
RPP,18,vsbfd,0.7
RPP,18,hjnxe,0.75
RPP,18,bmfkj,0.93
RPP,18,6il19,0.67
RPP,18,kxzhv,0.19
RPP,18,z5oll,0.68
RPP,18,xpupr,0.75
RPP,18,37qus,0.92
RPP,18,lxg47,0.9
RPP,18,gaseo,0.9
RPP,18,5nbjz,0.7
RPP,18,2jerz,0.45
RPP,19,ttpqb,0.2
RPP,19,ae9m0,0.53
RPP,19,oay7y,0.74
RPP,19,yzxxj,0.65
RPP,19,d7rtl,0.05
RPP,19,nugpa,0.05
RPP,19,yu92f,0.5
RPP,19,wxm49,0.7
RPP,19,sxo86,0.05
RPP,19,pyn29,0.08
RPP,19,8c3m2,0.7
RPP,19,94ear,0.05
RPP,19,ycxp2,0.14
RPP,19,2kjhx,0.71
RPP,19,6j4s9,0.19
RPP,19,z7yin,0.19
RPP,19,r9cox,0.6
RPP,19,jot2g,0.65
RPP,19,w0ft5,0.81
RPP,19,2vvfk,0.7
RPP,19,s4enp,0.7
RPP,19,hkqex,0.7
RPP,19,0cdhl,0.78
RPP,19,tjfzu,0.85
RPP,19,jsjzs,0.7
RPP,19,6pwgu,0.68
RPP,19,015of,0.55
RPP,19,bu93w,0.4
RPP,19,stih2,0.19
RPP,19,sk26t,0.4
RPP,19,f8hf1,0.6
RPP,19,7nfb4,0.9
RPP,19,u6szv,0.55
RPP,19,pv96u,0.38
RPP,19,vsbfd,0.75
RPP,19,hjnxe,0.15
RPP,19,bmfkj,0.93
RPP,19,6il19,0.91
RPP,19,kxzhv,0.1
RPP,19,z5oll,0.47
RPP,19,xpupr,0.7
RPP,19,37qus,0.65
RPP,19,lxg47,0.45
RPP,19,gaseo,0.68
RPP,19,5nbjz,0.3
RPP,19,2jerz,0.3
RPP,20,ttpqb,0.61
RPP,20,ae9m0,0.59
RPP,20,oay7y,0.7
RPP,20,yzxxj,0.82
RPP,20,d7rtl,0.1
RPP,20,nugpa,0.4
RPP,20,yu92f,0.8
RPP,20,wxm49,0.6
RPP,20,sxo86,0.56
RPP,20,pyn29,0.51
RPP,20,8c3m2,0.61
RPP,20,94ear,0.3
RPP,20,ycxp2,0.3
RPP,20,2kjhx,0.64
RPP,20,6j4s9,0.7
RPP,20,z7yin,0.18
RPP,20,r9cox,0.4
RPP,20,jot2g,0.5
RPP,20,w0ft5,0.75
RPP,20,2vvfk,0.65
RPP,20,s4enp,0.5
RPP,20,hkqex,0.8
RPP,20,0cdhl,0.74
RPP,20,tjfzu,0.55
RPP,20,jsjzs,0.65
RPP,20,6pwgu,0.51
RPP,20,015of,0.65
RPP,20,bf142,0.73
RPP,20,bu93w,0.78
RPP,20,stih2,0.81
